0 0 0 0 3
0 0 0 0 0
0 . 0 0 1
0 0 0 0 0
0 0 0 2 0
0 1 3 . 1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 .
0 . 1 2 6
0 0 0 . 0
0 0 2 1 1
0 0 0 0 0
0 0 0 0 0
. 0 0 2 0
0 0 0 0 .
0 0 0 0 1
. 0 0 3 0
1 1 0 0 0
0 . 4 3 3
0 0 1 4 .
0 1 0 4 2
0 0 0 0 0
1 1 0 0 .
. 1 0 1 2
0 0 0 0 0
0 0 0 0 0
. 0 1 0 .
0 1 0 0 0
0 0 0 0 1
1 4 0 1 1
0 0 0 0 0
0 0 1 1 8
0 0 0 0 0
0 0 0 0 1
0 . 1 1 2
0 0 1 . 3
1 0 . 0 0
1 1 0 0 1
0 0 1 0 .
0 1 0 1 1
2 3 . 3 8
0 0 0 1 3
0 0 1 2 3
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
0 . 1 1 3
0 0 0 2 3
0 0 0 0 0
0 1 . 0 1
1 2 . 1 3
0 0 1 0 1
0 . . 0 1
0 0 0 0 0
1 1 7 6 9
0 0 1 0 0
0 0 1 0 1
0 1 . 1 .
0 1 0 1 1
0 0 0 . 0
0 0 0 0 .
0 0 2 5 7
0 0 0 0 0
0 0 0 0 0
0 0 0 0 .
. 2 6 5 8
0 0 1 0 1
0 0 0 1 2
0 1 0 0 0
2 0 1 0 0
0 0 0 0 2
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0
0 0 0 0 2
0 0 0 0 1
1 4 8 12 .
0 0 0 0 1
0 . 0 0 .
1 0 . 0 0
1 0 0 3 1
0 0 0 0 1
0 . 0 1 1
0 1 . . 5
0 0 0 . .
0 0 0 . 0
0 . 0 1 2
0 0 0 . 0
1 3 3 5 2
0 0 0 0 0
. . 0 2 0
3 . 6 8 13
. 0 0 0 0
0 . 0 0 0
4 2 1 4 0
1 0 0 2 0
. 0 1 . 1
0 . . 3 3
0 0 1 1 1
2 2 4 7 5
3 0 3 3 0
0 0 0 2 1
0 0 0 0 0
0 0 1 0 0
. 1 0 0 1
6 17 22 31 .
0 0 0 . 1
1 0 0 1 0
0 0 0 1 0
0 0 0 2 0
0 0 0 0 0
0 0 2 5 5
0 1 . 0 4
0 0 1 1 0
0 3 1 1 3
2 3 7 10 7
1 1 2 1 0
. 0 0 2 1
0 0 0 0 0
0 . 0 0 0
0 0 0 1 0
1 1 3 0 1
0 0 0 2 0
1 0 1 1 0
0 0 0 0 0
0 0 0 0 2
. 0 1 0 1
0 0 . 0 2
0 0 0 . 0
. 0 0 4 .
0 0 1 1 3
0 0 0 . 1
. 0 0 0 2
4 . 2 4 .
0 0 0 0 0
0 0 4 5 7
. 0 0 1 .
0 0 1 0 .
0 . 4 1 4
0 0 0 0 0
0 0 0 . 0
0 0 . 0 0
. 0 . 0 0
0 0 2 6 1
1 0 0 . 6
0 2 1 1 2
2 . 6 3 4
0 0 0 0 .
0 0 0 0 0
0 0 0 0 0
0 . 0 0 0
0 0 0 0 0
0 0 0 0 2
0 1 1 1 1
. 0 1 1 0
0 0 2 0 0
. 2 1 2 3
1 0 1 1 3
0 0 . 0 0
. 0 0 0 0
0 1 1 2 2
0 . . . 1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 . 0 0 0
0 . 2 1 0
0 . 0 0 1
0 0 0 0 1
1 0 0 1 1
0 0 0 0 0
0 2 1 1 5
0 0 . 0 0
