2 0 30 5
4 1 18 2
12 0 29 0
17 1 20 2
18 0 26 15
19 0 27 5
23 1 20 3
25 1 28 2
33 1 19 1
34 1 27 3
35 0 24 0
38 1 27 8
41 1 26 15
42 0 26 0
48 1 27 10
53 1 22 7
55 1 27 0
60 0 21 1
64 0 24 10
66 0 29 0
70 0 27 2
77 1 19 3
80 0 21 1
85 0 24 10
91 1 20 10
93 0 26 1
106 0 15 10
108 0 23 14
123 0 17 1
135 0 20 12
140 0 25 0
141 1 20 0
152 0 27 20
154 0 17 0
156 0 17 5
157 1 25 4
158 0 15 0
168 0 27 6
169 1 23 5
170 1 19 5
180 0 21 8
181 1 21 6
185 0 28 5
187 0 18 0
188 1 19 1
191 0 22 0
195 0 27 3
198 1 28 5
202 0 27 8
216 1 22 4
218 0 15 0
228 0 27 10
236 1 22 1
238 1 26 3
244 0 23 2
247 0 18 4
248 1 19 1
262 0 18 20
264 0 24 4
267 1 16 2
269 1 21 15
280 0 28 4
282 0 28 15
287 0 19 3
299 0 29 15
309 1 16 4
321 0 26 20
325 0 22 12
335 1 19 0
337 0 24 7
343 0 28 5
345 0 24 2
346 0 16 5
348 0 25 12
349 0 15 1
350 0 17 2
351 1 22 0
354 1 26 2
358 0 21 4
359 1 16 2
362 1 25 2
370 0 21 16
376 0 28 3
389 1 16 0
390 1 27 1
400 1 29 20
403 1 16 0
419 0 17 5
429 0 22 1
435 1 27 0
436 1 26 0
440 0 24 1
443 0 23 20
445 0 23 0
454 0 17 1
464 1 20 3
471 0 23 2
511 0 29 3
514 1 27 5
517 0 20 1
519 1 28 5
523 1 21 15
526 0 19 15
549 0 22 1
550 0 15 2
556 1 20 1
558 0 15 0
566 1 19 2
581 0 26 5
583 1 28 15
593 1 19 1
603 0 30 10
608 0 27 0
622 1 18 0
624 1 20 4
635 1 24 3
640 0 24 25
642 0 20 2
647 0 23 1
653 0 27 3
662 0 25 4
663 0 19 10
679 1 20 4
683 0 21 1
684 1 20 9
686 1 23 2
687 0 26 12
690 0 23 3
693 1 18 0
701 0 20 1
734 1 27 3
737 0 29 10
739 1 29 0
753 0 29 2
754 0 16 0
756 1 17 1
760 1 20 4
762 1 21 5
764 0 18 1
772 0 17 15
777 1 20 6
782 0 24 10
783 0 20 10
792 0 19 1
795 1 25 3
796 1 24 2
798 0 27 6
800 1 22 7
802 0 23 5
805 0 21 5
810 1 24 5
821 1 21 3
824 1 28 1
825 0 28 6
827 1 28 1
829 0 23 1
842 0 24 8
848 1 29 2
851 0 26 7
859 0 25 6
865 0 17 1
871 0 15 10
884 0 28 10
885 0 17 2
888 0 23 3
894 0 19 1
902 0 24 4
911 1 16 0
913 0 18 2
917 0 22 3
922 1 21 1
930 1 26 3
943 1 27 15
946 1 22 1
947 1 17 2
962 0 23 6
964 1 19 12
966 1 27 4
981 0 20 0
989 0 29 6
994 1 19 15
999 0 19 10
1000 0 22 10
1005 0 27 24
1009 1 17 1
1012 0 28 0
1017 0 29 15
1020 1 21 2
1022 1 21 15
1030 0 21 2
1032 1 15 1
1034 1 24 9
1039 1 15 0
1040 0 22 5
1042 1 30 4
1043 0 26 10
1045 0 17 8
1047 1 17 0
1049 1 29 8
1072 1 28 15
1076 1 18 0
1085 0 17 0
1086 1 24 0
1087 1 21 4
1095 1 27 2
1101 1 30 1
1120 1 19 3
1123 0 21 7
1129 0 30 25
1131 1 16 0
1132 1 29 4
1133 1 22 8
1146 0 21 1
1153 1 24 1
1154 0 17 0
1155 1 27 15
1160 0 21 0
1170 0 27 1
1181 1 26 4
1183 0 23 0
1186 1 23 1
1187 1 28 1
1190 0 19 0
1194 0 28 15
1199 1 22 12
1200 0 25 1
1201 0 21 3
1227 0 28 2
1246 0 27 2
1250 0 20 0
1259 0 21 12
1261 0 26 12
1262 0 17 3
1264 1 20 8
1266 0 22 8
1267 1 18 3
1274 1 27 2
1277 0 21 1
1278 0 28 6
1279 0 28 10
1283 0 23 1
1284 1 20 5
1287 0 28 5
1288 0 18 0
1289 1 23 6
1298 0 19 0
1306 1 27 4
1316 1 21 3
1318 1 26 15
1328 1 28 4
1330 1 19 7
1331 0 25 8
1334 0 21 8
1336 1 23 8
1343 1 20 3
1348 0 26 5
1360 0 28 0
1362 0 29 10
1367 1 24 0
1368 1 22 2
1379 1 25 10
1380 0 16 0
1386 1 18 2
1394 0 22 10
1395 0 28 2
1401 0 16 5
1405 0 26 0
1416 0 17 0
1421 1 19 1
1422 1 19 1
1423 1 27 5
1424 0 22 4
1448 0 18 15
1453 1 28 3
1454 0 27 2
1459 0 27 1
1460 0 20 0
1466 1 20 0
1482 0 27 10
1484 0 26 19
1486 1 26 15
1492 0 24 25
1494 1 22 3
1511 1 19 1
1518 0 17 2
1526 1 25 20
1529 0 21 17
1539 1 17 1
1571 0 18 5
1575 1 16 0
1579 0 18 17
1591 1 21 14
1603 1 28 25
1606 1 16 8
1609 1 25 12
1624 0 24 2
1631 1 27 5
1637 1 22 20
1638 0 16 2
1639 1 19 4
1640 1 16 5
1644 0 29 4
1645 1 22 3
1646 0 26 4
1654 0 27 10
1656 1 22 0
1657 0 28 10
1663 0 19 6
1666 0 26 2
1671 1 23 5
1673 0 19 5
1682 1 26 5
1684 1 27 0
1686 0 18 3
1710 1 18 2
1725 0 22 2
1727 0 22 5
1741 1 24 1
1747 1 27 5
1749 1 29 10
1752 1 26 15
1753 0 28 4
1762 0 17 15
1767 1 29 2
1773 0 19 0
1778 1 27 6
1786 0 17 5
1788 0 22 2
1794 1 21 0
1795 0 22 0
1798 1 24 4
1799 1 22 0
1800 0 20 1
1814 0 27 5
1817 0 16 1
1825 0 22 2
1831 1 22 3
1835 1 24 6
1843 0 27 3
1844 1 24 10
1846 1 19 1
1847 0 27 10
1848 1 23 1
1859 0 29 1
1865 0 19 5
1873 1 26 2
1877 0 25 3
1882 1 25 1
1883 0 28 10
1890 0 19 20
1894 0 25 8
1896 1 23 5
1897 1 24 2
1901 1 28 18
