1 54 6 5 0 0
0 39 4 3 0 0
0 37 11 14 1 1
1 37 12 11 0 0
1 37 6 11 0 0
0 48 17 9 1 0
0 46 16 8 0 0
0 54 6 10 0 0
1 36 7 11 0 0
0 37 11 13 0 0
1 33 12 12 1 0
1 40 4 6 0 0
1 47 4 6 0 0
1 51 4 6 0 0
0 59 6 11 1 0
1 33 2 -2 0 0
1 56 8 9 0 0
0 21 11 8 0 0
1 46 10 10 0 0
1 46 8 9 0 0
0 24 10 6 0 0
0 39 18 13 1 1
0 46 13 13 1 1
0 47 11 7 0 0
0 42 8 10 0 0
0 36 13 17 1 1
1 37 0 14 0 0
1 44 9 6 0 0
0 26 11 11 1 1
1 54 10 12 0 0
0 52 13 10 0 0
1 45 5 11 1 0
0 35 9 10 1 0
1 32 8 7 0 0
1 49 13 10 0 0
1 47 11 12 0 1
0 38 8 7 0 0
0 30 11 12 0 1
0 34 8 10 1 1
1 29 18 9 0 1
1 27 6 10 0 0
1 46 10 11 0 0
0 37 10 7 0 0
1 35 9 10 0 0
1 52 14 9 0 0
0 37 17 11 0 0
0 37 11 7 1 0
0 35 7 10 0 1
1 37 13 9 0 0
0 32 10 10 1 1
1 51 7 3 1 0
1 62 10 10 0 0
0 37 7 6 0 1
1 43 4 5 0 0
0 25 7 5 0 0
1 41 5 17 0 1
0 39 8 17 1 1
1 44 2 5 0 0
1 38 9 12 0 0
1 43 10 11 1 1
0 36 11 13 1 0
1 34 6 11 0 0
0 41 11 6 1 0
0 40 3 7 1 1
1 23 1 10 0 0
1 41 7 8 0 1
0 56 12 11 0 1
0 22 9 6 0 0
1 34 7 7 0 0
0 44 14 10 1 0
1 35 10 4 0 0
0 59 3 3 0 0
0 43 10 16 0 0
1 50 16 16 0 0
0 36 7 7 0 0
1 43 6 8 1 0
0 53 6 0 0 0
0 32 13 9 0 0
1 60 8 13 0 1
1 20 15 12 0 0
1 53 9 9 0 0
0 36 10 8 0 0
0 36 0 6 0 0
0 53 7 5 0 0
1 44 4 10 0 0
0 33 12 8 0 0
0 37 7 6 1 1
0 37 3 1 0 0
0 43 9 7 0 0
0 63 12 11 0 0
0 35 8 6 1 1
1 45 9 9 0 0
0 36 10 13 0 1
0 37 10 11 1 1
1 49 10 11 0 0
0 58 5 7 0 0
0 34 12 7 0 0
1 38 1 4 0 0
1 39 3 8 0 0
0 43 10 8 0 0
1 35 9 7 0 0
1 35 14 9 1 0
0 34 5 4 1 0
0 45 8 4 0 0
